"a";"b";"c";"d";"answer";"question";"subject_id"
"Document";"Window";"Folder";"All of above";"C";"A ..... is a windows component that is designed to store other components so these can be organized efficiently?";1
"Icon";"Taskbar button";"Folder";"None of above";"B";"You can switch from one program to another on the desktop by clicking within the desired program's window or by clicking on its ...... button";1
"Base address of each frame and corresponding page number";"Memory address and corresponding page number";"File name and corresponding page number";"None of Above";"A";"What is contained in the page table?";1
"Application icon on desktop";"Application icon from taskbar";"Folder";"None of above";"B";"You can switch from one program to another by clicking within the desired program's icon from the";1
"RAM";"CPU";"Flash card";"Hard drive";"D";"Virtual memory typically located on";1
"File only";"Directory only";"File and directory name";"None of above";"B";"Tree structure displays the";1
"Scandisk";"Drive space";"Disk defragmenter";"Doskey";"D";"Which of the following is not a system tool?";1
"Provides work space";"Screen saver";"Display program";"Working with my document";"A";"Desktop is a";1
"Directories can exist inside directories";"The root directory is always at the highest level";"Directories cannot be renamed";"Directories can be deleted";"C";"Which of the following statement about directories is false?";1
"BIOS";"Bootstrap program";"Device driver";"Supervisor program";"B";"The program that is responsible for loading the operating system into RAM is called";1
"Combine multiple equal memory holes into one big hole";"Combine multiple small memory holes into one big hole";"Divide big memory hole into small holes";"Divide memory hole by 2";"B";"What do you mean by Memory Compaction?";1
"F3";"F4";"F2";"F7";"C";"In a folder, which of the following key is used to rename the file or folder";1
"F3";"F4";"F5";"F6";"D";"Which of the following key is used to move the pointer from one pane to next pane?";1
"Wildcard character";"All file name";"Extensions";"None of above";"A";"A character that represents one or more unknown character is";1
"NTFS";"BSD";"EXT";"All of the above";"A";"Which of the following file format supports in Windows 7?";1
"Change it";"Clear";"Exit windows";"All of the above";"C";"Anything you cut or copy on to the clipboard remains there until you";1
"F5";"F6";"F8";"Del";"C";"Press ____ key while booting to display Advanced Boot Menu";1
"F4";"F7";"F8";"F5";"C";"To display system boot menu which of the following key you must press?";1
"Are easier to develop than single programming system";"Execute each job faster";"Execute more jobs in the same time period";"Are used only by large mainframe computer";"C";"Multi programming systems ......";1
"Help";"File";"Edit";"All of above";"D";"Which of the following appear in Windows menu bar?";1
"File >> Print";"Drag the document icon over your printers icon";"Edit print";"Both A and B";"D";"To print documents from Windows";1
"Files";"Folders";"Drives";"System";"D";"The operating system allows the user to organize the computer's contents in a hierarchical structure of directories that include all of the following except:";1
"Browser";"Compose";"Editor";"None of these";"A";"Netscape navigator is a";1
"OS/2";"Windows 98";"DOS 6.2";"Windows NT";"C";"Which operating system does not support long file names?";1
"Windows";"Unix";"DOS";"All of above";"C";"Which operating system uses short file names?";1
"Deadlock";"Page Fault";"Dormant Paging";"Demand Paging";"D";"Bringing a page into memory only when it is needed, this mechanism is called";1
"My Document";"My Pictures";"Documents and Settings";"My Computer";"A";"It is the default folder for many Windows Applications to save your file";1
"Briefcase";"Clipboard";"Document";"Boot";"B";"The component of Windows that lets you to transfer contents from one document to another";1
"The platform";"The operating system";"Application software";"The motherboard";"B";"...... controls the way in which the computer system functions and provides a means by which users can interact with the computer";1
"Kernel";"Shell";"Application program";"Critical selection";"D";"Which one of the following is not a layer of operating system?";1
"Memory management";"Disk management";"Application management";"Virus protection";"D";"Which is not the function of the operating system?";1
"An extremely large main memory";"An extremely large secondary memory";"An illusion of extremely large main memory";"A type of memory used in super computer";"C";"The virtual memory is";1
"an Internet browser";"provided by Windows OS";"an access point for Word Wide Web";"All of above";"D";"Internet Explorer is";1
"Clipboard";"Copyboard";"Both a and b";"None of above";"A";"The ....... is a temporary storage area in memory where you can attach text or graphics information";1
"Embedding";"Linking";"Both";"None of above";"A";"An embedded object might appear in a document as";1
"Compile and go loader";"Boot loader";"Bootstrap loader";"Relating loader";"C";"When a computer is first turned on or restarted, a special type of absolute loader called";1
"F7";"F8";"F9";"F5";"D";"Which one of the following key is used to refresh the active window?";1
"Network Operating System";"Real Time Operating System";"Batch Operating System";"Unix Operating System";"B";"In which type of the following OS, the response time is very crucial.";1
"Redhat Linux";"Microsoft Unix";"AT & T DOS";"Novell Linux";"A";"Which of the following is a correct association between a vendor and an operating system";1
"FAT 16";"NTFS";"FAT 64";"FAT 32";"B";"Windows 2000 server uses the";1
"Trash can";"Recycle bin";"Deleted Files";"None of above";"B";"Any files deleted in Windows goes into";1
"Drive space";"Scan disk";"Defragmenter";"None of the above";"A";"Which of the following is a disk compression tool?";1
"Non Preemptive Scheduling";"Preemptive Scheduling";"Fair Share Scheduling";"Deadline Scheduling";"A";"First-in-First-Out (FIFO) scheduling is";1
"Monitor RS";"Tablet PC";"Database manager";"Media Center";"B";"A ..... allows you to write on screen with a digital pen and convert that writing into characters that the PC can process";1
"Page Replacement Algorithm";"Memory Management Algorithm";"Deadlock Prevention Algorithm";"Disk Scheduling Algorithm";"A";"What does Belady's Anomaly related to?";1
"Swapping";"Deadlock";"Demand Paging";"Page Fault";"A";"Copying a process from memory to disk to allow space for other processes is Called";1
"I/O";"Memory";"CPU";"All of the above";"D";"Which of the following resources must be protected by the operating system?";1
"Digital Semaphores and Binary Semaphores";"Analog Semaphores and Octal Semaphores";"Counting Semaphores and Binary Semaphores";"Critical Semaphores and System Semaphores";"C";"What are the two types of Semaphore?";1
"Alt + Tab";"Alt + F4";"Ctrl + Tab";"None of the above";"A";"Which of the following command is used to switch between the window programs?";1
"CD";"BIOS";"CPU";"DVD";"B";"During the boot process, the ..... looks for the system file";1
"Format";"Write protect";"Create back up";"None of above";"B";"To prevent the addition and deletion of files on a disk or tape we use";1
"Hardware controller";"Hardware and gain controller";"Data controller";"All of above";"A";"Driver is";1
"Boot area";"FAT area";"Data area";"Directory";"A";"System files allocated at";1
"Program";"Software";"Data";"None";"B";"...... transforms one interface into other interface";1
"Hardware";"Software";"Data";"None";"A";"........ interface consists of thing like program counter, register, interrupts and terminal";1
"Operating system";"Software";"Data";"None";"A";"....... show characteristics with both hardware and software";1
"CPU";"OS";"Control Unit";"Application Program";"B";"Who is called a supervisor of computer activity?";1
"Program folder";"Ms Word file";"Control Panel folder";"Desktop folder";"C";"Font folder is located on";1
"Setting >> mouse";"Hardware setting";"Control panel >> mouse";"None of the above";"C";"From where do you change mouse setting?";1
"Computer in network";"Individual user";"Connection";"All of the above";"A";"Work group means";1
"Unix";"Kernel";"Command.com";"None of these";"B";"The core of operating system is:";1
"EXE";"BAT";"COM";"All of the above";"D";"What should be the extension to execute files?";1
"ROM";"The hard drive";"CMOS";"Cache Memory";"C";"Part of the POST process is to ensure that the test of essential peripheral device coincides with the hardware configuration that stored in";1
"Registry";"API";"CMOS";"Kernel";"D";"The memory resident portion of operating system is called the";1
"Loads system files to RAM";"Checks the computer connections";"Clean up the computer memory";"Prepare the computer ready";"A";"Boot startup process";1
"Briefcase";"Recycle bin";"CD";"Desktop";"B";"When you delete file, where it resides?";1
"Ctrl + F4";"Ctrl + F5";"Alt + F6";"None of above";"D";"Which of the key is used to close the active window?";1
"Alt + F1";"Alt + Ctrl + Delete";"Alt + Tab";"F1";"B";"The shortcut key to open a task manager is:";1
"Auto detect";"Plug and play";"Add remove hardware";"None of above";"B";"The windows feature is the ability of computer to automatically configure a new hardware component is that";1
"Date and time";"My documents";"Add or remove program";"Display";"B";"Which of the following is not a part of the control panel?";1
"Device manager";"Control panel";"Add new hardware";"Program manager";"A";"The ...... provides information about hardware installation, configuration and hardware status";1
"Word pad";"Paint brush";"Accessories";"None of the above";"C";"Which of the following is a program group?";1
".doc";".html";".txt";".tif";"C";"What is the default file extension created by notepad?";1
".ppt";".xls";".rtf";"None of above";"C";"Which of the following is the extension of WordPad?";1
"A Paging";"A Process";"A virtual memory";"A Demand Page";"B";"A program in execution is called";1
".ppt";".xls";".sys";".doc";"C";"Which of the following is not the user file extension?";1
"the dispatching of a task";"the creation of a new job";"the creation of a new process";"increasing the priority of a task";"C";"Fork is";1
"is a natural consequence of virtual memory systems";"can always be avoided by swapping";"always occurs on large computers";"can be caused by poor paging algorithms";"D";"Thrashing . . . . . . .";1
"pages out pages that have been used recently";"pages out pages that have not been used recently";"pages out pages that have been least used recently";"pages out the first page in a given area";"C";"The LRU algorithm";1
"have both their operands in the main store.";"which perform an operation on a register operand and an operand which is located in the main store, generally leaving the result in the register, expect in the case of store operation when it is also ";"which perform indicated operations on two fast registers of the machine and have the result in one of the registers";"all of the above";"A";"The Storage-to-Storage instructions";1
".com";".exe";".bat";".txt";"D";"Which is not executable file?";1
"A";"PgUp";"Enter";"Home";"D";"To move to the beginning of a line of text, press the __________ key.";1
"1975";"1985";"1995";"2000";"B";"When was MS Windows operating system introduced?";1
"1958";"1976";"1956";"1946";"C";"First operating system was developed in";1
"54";"63";"80";"27";"B";"The maximum length of any single path from the root directory?";1
"Operation code";"Address";"Locator";"Flip-Flop";"A";"The part of machine level instruction, which tells the central processor what has to be done, is";1
"the address of the data is generated by the CPU";"the address of the data is supplied by the users";"there is no need for an address i.e. the data is used as an address";"the data are accessed sequentially";"C";"Which of the following refers to the associative memory?";1
"8";"1";"16";"0";"B";"To avoid the race condition, the number of processes that may be simultaneously inside their critical section is";1
"required for object-oriented programming";"easy to develop";"common among traditional mainframe operating systems";"becoming more common";"D";"User-Friendly Systems are:";1
"ascending";"sorting";"index";"indirect";"C";"Which of the following addressing modes, facilitates access to an operand whose location is defined relative to the beginning of the data structure in which it appears?";1
"COPY";"DISKCOPY";"CHKDSK";"TYPE";"B";"While running DOS on a PC, which command would be used to duplicate the entire diskette?";1
"is a device that performs a sequence of operations specified by instructions in memory.";"is the device where information is stored";"is a sequence of instructions";"is typically characterized by interactive processing and time-slicing of the CPU";"B";"Memory . . . . . . .";1
"Flowchart";"HIPO-DIAGRAMS";"Nassi-Shneiderman diagram";"All of the above";"C";"Which of the following rules out the use of GO TO?";1
"pointer";"indexed register";"special location";"scratch pad";"A";"The register or main memory location which contains the effective address of the operand is known as";1
"assembly language version of the program which is created by the code generation phase and is input to the assembly phase.";"a permanent table of decision rules in the form of patterns for matching with the uniform symbol table to discover syntactic structure.";"consists of a full or partial list or the token";"a permanent table which lists all key words and special symbols of the language in symbolic form.";"A";"Assembly code data base is associated with";1
"the pages, belonging to the working set of the programs, are in main memory";"the speed of CPU is increased";"the speed of I/O processor is increased";"all of the above";"A";"Thrashing can be avoided if";1
"recognition of basic syntactic constructs through reductions.";"recognition of basic elements and creation of uniform symbols";"creation of more optional matrix.";"use of macro processor to produce more optimal assembly code";"B";"In analyzing the compilation of PL/I program, the term Lexical analysis"" is associated with""""""";1
"Linker";"Loader";"Compiler";"Assembler";"A";"Resolution of externally defined symbols is performed by";1
"Security software";"Utility program";"Networking software";"Documentation system";"B";"Which of the following systems software does the job of merging the records from two files into one?";1
".avi";".wav";".mpeg";".mov";"B";"Which of the following is not a video file extension?";1
".ttf";".mdb";".fft";".txt";"A";"What is the extension of the font file?";1
"program in High level language kept on disk";"contents of main memory";"a program in execution";"a job in secondary memory";"C";"Process is";1
"assembler";"linking loader";"cross compiler";"load and go";"B";"A system program that combines the separately compiled modules of a program into a form suitable for execution";1
"defines the fundamental method of determining effective operand addresses";"are variations in the use of fundamental addressing structures, or some associated actions which are related to addressing.";"performs indicated operations on two fast registers of the machine and leave the result in one of the registers.";"all of the above";"A";"Addressing structure";1
"is a hardware memory device which denotes the location of the current instruction being executed.";"is a group of electrical circuits (hardware), that performs the intent of instructions fetched from memory.";"contains the address of the memory location that is to be read from or stored into.";"contains a copy of the designated memory location specified by the MAR after a read"" or the new contents of the memory prior to a """"write"""".""""""";"D";"The Memory Buffer Register (MBR)";1
"assembler";"linker";"loader";"compiler";"C";"A system program that sets up an executable program in main memory ready for execution is";1
"preemptive scheduling";"non preemptive scheduling";"shortest job first";"first come first served";"A";"The strategy of allowing processes that are logically runnable to be temporarily suspended is called";1
"executes first the job that last entered the queue";"executes first the job that first entered the queue";"execute first the job that has been in the queue the longest";"executes first the job with the least processor needs";"B";"The FIFO algorithm";1
"Working system";"Peripheral system";"Operating system";"Controlling system";"C";"What is the name given to the organized collection of software that controls the overall operation of a computer?";1
"reenterable";"non reusable";"virtual memory";"cache memory";"D";"The principle of locality of reference justifies the use of";1
"internal command instructions";"external command instructions";"utility programs";"word processing instructions";"A";"Which of the following are loaded into main memory when the computer is booted?";1
"S = B - C";"IS A<10";"PRINT A";"DATA X,4Z";"B";"Which of the following instruction steps, would be written within the diamond-shaped box, of a flowchart?";1
"the technique of storage compaction involves moving all occupied areas of storage to one end or other of main storage";"compaction does not involve relocation of programs";"compaction is also know as garbage collection";"the system must stop everything while it performs the compaction";"B";"Which of the following statements is false?";1
"is required for all processes";"is usually done via disk drives";"is never necessary,";"allows processes to synchronize activity";"D";"Interprocess communication";1
"never used";"entered by programs when they enter the processor";"required to perform any I/O";"only allowed to the operating system";"D";"Supervisor state is";1
"is always quite simple";"is always very difficult";"varies in difficulty between systems";"requires extensive tools to be understandable";"C";"System generation is";1
"is a hardware memory device which denotes the location of the current instruction being executed.";"is a group of electrical circuits (hardware), that performs the intent of instructions fetched from memory.";"contains the address of the memory location that is to be read from or stored into.";"contains a copy of the designated memory location specified by the MAR after a read"" or the new contents of the memory prior to a """"write"""".""""""";"C";"The Memory Address Register";1
"is the hardware necessary to implement paging";"stores pages at a specific location on disk";"is useless when swapping is used";"is part of the operating system paging algorithm";"A";"In virtual memory systems, Dynamic address translation";1
"occurs only if the file system is used improperly";"can always be prevented";"can be temporarily removed by compaction";"is a characteristic of all file systems";"C";"Fragmentation of the file system";1
"can not be made to execute in any area of storage other than the one designated for it at the time of its coding or translation.";"consists of a program and relevant information for its relocation.";"can itself performs the relocation of its address-sensitive portions.";"all of the above";"A";"A non-relocatable program is one which";1
"allocate space in memory for the programs and resolve symbolic references between object decks";"adjust all address dependent locations, such as address constants, to correspond to the allocated space.";"physically place the machine instructions and data into memory.";"All of the above";"D";"Which of the following functions is(are) performed by the loader";1
"index addressing";"indirect addressing";"auto increment";"auto decrement";"D";"In which addressing mode the contents of a register specified in the instruction are first decremented, and then these contents are used as the effective address of the operands?";1
"Defined values";"Fixed values";"Default values";"Special values";"C";"What is the name given to the values that are automatically provided by software to reduce keystrokes and improve a computer user's productivity?";1
"is a sign of an efficient system";"is taking page frames from other working sets";"should be the tuning goal";"is taking larger disk spaces for pages paged out";"B";"Page stealing . . . . . . .";1
"MS";"DOS";"MS DOS";"5.0";"D";"In MS-DOS 5.0, which is the number that acts as a code to uniquely identify the software product?";1
"A logical error in a program";"A difficult syntax error in a program";"Documenting programs using an efficient documentation tool";"All of the above";"A";"Bug means";1
"assembles";"compilers";"interpreters";"All of the above";"D";"Which of the following are(is) Language Processor(s)";1
"index addressing";"indirect addressing";"auto increment";"auto decrement";"C";"In which addressing mode the effective address of the operand is the contents of a register specified in the instruction and after accessing the operand, the contents of this register is incremented to point to the next item in the list?";1
"segmentation";"swapping";"pure demand paging";"multiple contiguous fixed partitions";"A";"The memory allocation scheme subject to external"" fragmentation is""""""";1
"DISKCOPY";"COPY";"RENAME";"FORMAT";"B";"While working with MS-DOS, which command will you use to transfer a specific file from one disk to another?";1
"Windows";"DOS";"MS-DOS";"OZ";"D";"What is the name of the operating system for the laptop computer called MacLite?";1
"not used in modern operating system";"replaced with virtual memory on current systems";"not used on multiprogramming systems";"critical for even the simplest operating systems";"D";"Memory management is :";1
"8";"1";"16";"0";"B";"The initial value of the semaphore that allows only one of the many processes to enter their critical sections, is";1
"have both their operands in the main store.";"which perform an operation on a register operand and an operand which is located in the main store, generally leaving the result in the register, except in the case of store operation when it is also ";"which perform indicated operations on two fast registers of the machine and leave the result in one of the registers.";"all of the above";"C";"The Register - to - Register (RR) instructions";1
"is an error is a specific page";"occurs when a program accesses a page of memory";"is an access to a page not currently in memory";"is a reference to a page belonging to another program";"C";"A page fault";1
"A computer language";"A step by step procedure for solving a problem";"A branch of mathematics";"All of the above";"B";"An algorithm is best described as";1
"multiprogramming";"spooling";"caching";"virtual programming";"B";"The process of transferring data intended for a peripheral device into a disk (or intermediate store) so that it can be transferred to peripheral at a more convenient time or in bulk, is known as";1
"to improve disk performance";"to handle interrupts";"to increase the capacity of the main memory";"to speed up main memory read operation";"A";"Block caches or buffer caches are used";1
"a small page size causes large page tables";"internal fragmentation is increased with small pages";"a large page size causes instructions and data that will not be referenced brought into primary storage";"I/O transfers are more efficient with large pages";"B";"Which of the following statements is false?";1
"syntax analysis";"lexical analysis";"interpretation analysis";"general syntax analysis";"B";"The action of parsing the source program into the proper syntactic classes is known as";1
"A decision table is easy to modify";"A decision table is directly understood by the computer";"A decision table is easy to understand";"All of the above";"B";"Which, of the following is not true about the description of a decision table?";1
"relative record data set";"keyed sequential data set";"entry sequential data set";"all of the above";"D";"A file organization component of a VSAM file is:";1
"Shareware program";"Public domain program";"Firmware program";"Mindware";"B";"What is the name given to the software which can be legally compiled and often used for free?";1
"A collection of hardware components";"A collection of input-output devices";"A collection of software routines";"All of the above";"C";"Operating system is";1
"the collection of pages that a process accesses";"disk scheduling mechanisms";"coalescing holes in memory";"assigning the CPU to processes";"A";"The working set theory of programming behaviour of processes running within an operating system involves";1
"MS-DOS";"PC-DOS";"Unix";"All of the above";"D";"Which of the following is a type of systems software used on microcomputers?";1
"assembler";"translator";"compiler";"system software";"C";"A translator which reads an entire programme written in a high level language and converts it into machine language code is:";1
"defines the fundamental method of determining effective operand addresses";"are variations in the use of fundamental addressing structures, or some associated actions which are related to addressing.";"performs indicated operations on two fast registers of the machine and leave the result in one of the registers.";"all of the above";"B";"Addressing modes";1
"Fewer people, less management and shorter transition in learning time";"Improved debugging capability, and superior documentation";"A greater degree of machine independence";"All of the above";"D";"The advantage(s) inherent to using high level languages is (are)";1
"is a method of memory allocation by which the program is subdivided into equal portions, or pages and core is subdivided into equal portions or blocks.";"consists of those addresses that may be generated by a processor during execution of a computation.";"is a method of allocating processor time.";"allows multiple programs to reside in separate areas of core at the time.";"D";"Multiprogramming . . . . . . .";1
"halts for a predetermined time";"hands over control of address bus and data bus to the interrupting device";"branches off to the interrupt service routine immediately";"branches off to the interrupt service routine after completion of the current instruction";"D";"The CPU, after receiving an interrupt from an I/O device";1
"is used for analyzing paging problems";"is used for analyzing device busy problems";"is used for analyzing control-unit busy problems";"is only shown on real-time displays";"B";"Seeks analysis";1
"Literal Table";"Identifier Table";"Terminal Table";"Source code";"C";"Which is a permanent database in the general model of the compiler?";1
"Partitioning";"Multitasking";"Windowing";"Paging";"B";"What is the name of the technique in which the operating system of a computer executes several programs concurrently by switching back and forth between them?";1
"links a program with the subroutines it references";"provides a layered, user-friendly interface";"enables the programmer to draw a flowchart";"all of the above";"B";"Operating system";1
"that last entered the queue";"that first entered the queue";"that has been in the queue the longest";"with the least processor needs";"D";"The SJF algorithm executes first the job";1
"independent two-pass processor";"independent one-pass processor";"processor incorporated into pass 1 of a standard two-pass assembler";"all of the above";"D";"In which way(s) a macro processor for assembly language can be implemented:";1
"program structure";"program size";"primary-storage size";"all of the above";"A";"The problem of thrashing is affected significantly by:";1
"spreadsheet";"operating environment";"timesharing";"multitasking";"C";"Which of the following software types is used to simplify using systems software?";1
"system software";"real-time software";"scientific software";"business software";"B";"Software that measures, monitors, analyzes, and controls real-world events is called:";1
"Macro processor";"Translator";"Loader";"Editor";"B";"The details of all external symbols and relocation formation (relocation list or map) is provided to linker by";1
"recognize macro definitions and macro calls";"save the macro definitions";"expand macros calls and substitute arguments";"all of the above";"D";"The macro processor must perform";1
"Bottom-up development";"Top-down development";"Left-Right development";"All of the above";"B";"A development strategy whereby the executive control modules of a system are coded and tested first, is known as";1
"recommendations by other users";"computer magazines";"objective software reviews";"all of the above";"D";"Which of the following is helpful in evaluating applications software what will best suit your needs?";1
"best fit";"first fit";"worst fit";"buddy";"C";"In which of the storage placement strategies a program is placed in the largest available hole in the main memory?";1
"is mostly used by public networks";"is mostly used by financial networks";"cannot be used by private installations";"is not necessary, since data cannot be intercepted";"B";"Data encryption";1
"Cold booting";"Booting";"Warm booting";"Boot recording";"B";"What is the name given to the process of initializing a microcomputer with its operating system?";1
"to assign storage to all variables referenced in the source program.";"to assign storage to all temporary locations that are necessary for intermediate results.";"to assign storage to literals, and to ensure that the storage is allocate and appropriate locations are initialized.";"all of the above";"D";"The function(s) of the Storage Assignment is (are)";1
"FORMAT command";"FAT command";"VER command";"CHKDSK command";"A";"With MS-DOS which command will divide the surface of the blank floppy disk into sectors and assign a unique address to each one?";1
"It is mnemonic and easy to read.";"Addresses any symbolic, not absolute";"Introduction of data to program is easier";"all of the above";"D";"Advantage(s) of using assembly language rather than machine language is (are):";1
"virtual memory is used only in multi-user systems";"segmentation suffers from external fragmentation";"paging suffers from internal fragmentation";"segmented memory can be paged";"A";"Which of the following is not true about the memory management?";1
"Read the input from the slow-speed card reader to the high-speed magnetic disk";"Specify, to the operating system, the beginning and end of a job in a batch";"Allocate the CPU to a job";"All of the above";"B";"Job Control Language (JCL) statements are used to";1
"is a method of memory allocation by which the program is subdivided into equal portions, or pages and core is subdivided into equal portions or blocks.";"consists of those addresses that may be generated by a processor during execution of a computation.";"is a method of allocating processor time.";"allows multiple programs to reside in separate areas of core at the time.";"A";"Paging";1
"mouse";"printer";"terminals";"disk";"D";"Which of the following is a block device";1
"Documentation, of a system, should be as clear and direct as possible";"Documentation increases the maintenance time and cost";"Documentation gives better understanding of the problem";"All of the above";"B";"Which of the following is not true about documentation?";1
"is a device that performs a sequence of operations specified by instructions in memory.";"is the device where information is stored";"is a sequence of instructions";"is typically characterized by interactive processing and time of the CPU";"A";"A Processor";1
"are legitimate programs that allow unauthorized access";"do not usually work";"are hidden programs that do not show up on the system";"usually are immediately discovered";"A";"Trojan-Horse programs";1
"1981";"1982";"1983";"1984";"A";"When did IBM release the first version of disk operating system DOS version 1.0?";1
"non-volatile";"longer storage capacity";"lower price per bit";"faster";"D";"Which of the following is false about disk when compared to main memory?";1
"they are memory resident";"they are initially stored on disk";"they are available on magnetic tapes";"they are partly in primary memory and partly on disk";"B";"Most of the microcomputer's operating systems like Apple DOS, MS DOS and PC DOS etc. are called disk operating systems because";1
"Terminal table";"Literal table";"Identifier table";"Reductions";"A";"Which table is a permanent database that has an entry for each terminal symbol.";1
"to recognize the major constructs of the language and to call the appropriate action routines that will generate the intermediate form or matrix for these constructs.";"to build a literal table and an identifier table";"to build a uniform symbol table";"to parse the source program into the basic elements or tokens of the language.";"A";"The function(s) of the Syntax phase is(are)";1
"works best with many small partitions";"allows many programs to use memory simultaneously";"allows each program in turn to use the memory";"does not work with overlaying";"C";"Swapping";1
"First come first served";"Shortest Seek Time First (SSTE)";"Scan";"FIFO";"C";"A disk scheduling algorithm in an operating system causes the disk arm to move back and forth across the disk surface in order to service all requests in its path. This is a";1
"an application software";"a system software";"a hardware component";"all of the above";"B";"A translator is best described as";1
"semaphores";"event counters";"monitors";"all of the above";"D";"Producer consumer problem can be solved using";1
"mutual exclusion";"deadlock recovery";"deadlock avoidance";"cache coherence";"C";"What problem is solved by Dijkstra's banker's algorithm?";1
"actually schedules the tasks into the processor";"puts tasks in I/O wait";"is always small and simple";"never changes task priorities";"A";"The dispatcher . . . . . . .";1
"MS-DOS";"PC-DOS";"OS/360";"CP/M";"D";"IBM released its first PC in 1981. Can you name the operating system which was most popular at that time?";1
"16";"32";"64";"128";"D";"If the number of bits in a virtual address of a program is 16 and the page size is 0.5 K bytes, the number of pages in the virtual address space is";1
"reenterable";"non reusable";"serially usable";"recursive";"A";"System programs such as Compilers are designed so that they are";1
"1";"2";"3";"4";"B";"For how many processes which are sharing common data, the Dekker's algorithm implements mutual exclusion?";1
"relative organization";"key fielding";"dynamic reallocation";"hashing";"A";"The file structure that redefines its first record at a base of zero uses the term:";1
"Application software";"System software";"Firm ware";"Shareware";"B";"What is the name given to all the programs inside the computer with makes it usable?";1
"synchronize critical resources to prevent deadlock";"synchronize critical resources to prevent contention";"are used to do I/O";"are used for memory management";"A";"Semaphores";1
"many functions do not have to be implemented twice.";"Functions are combined and it is not necessary to create intermediate files as output from the macros processor and input to the assembler.";"more flexibility is available to the programmer in that he may use all the features of the assembler in conjunction with macros.";"all of the above";"D";"The advantage(s) of incorporating the macro processor into pass 1 is(are):";1
"allows the programmer to write base registers and displacements explicitly in the source program.";"is used to remember which of the general-purpose registers are currently available as base registers, and what base addresses they contain.";"allows multiple programs to reside in separate areas of core at the same time.";"is a term that refers to the control programs of an operating system.";"A";"The system/370 assembler language";1
"allowing jobs to use the processor";"unrelated to performance consideration";"not required in uniprocessor systems";"the same regard-less of the purpose of the system";"A";"Scheduling is";1
"preemptive scheduling";"non-preemptive scheduling";"FIFO";"FCFS";"A";"What scheduling algorithm allows processes that are logical runnable to be temporarily suspended?";1
"Reallocation";"Allocation";"Linking";"Loading";"D";"In an absolute loading scheme, which loader function is accomplished by the loader";1
"bubble memory";"key fielding";"dynamic reallocation";"hashing";"D";"The computational technique used to compute the disk storage address of individual records is called:";1
"Assembly and output";"Code generation";"Syntax analysis";"Machine independent optimization";"D";"In analyzing the compilation of PL/I program, the description creation of more optimal matrix"" is associated with""""""";1
"are used for temporary program variable storage";"are only necessary with fixed partitions";"track page boundaries";"track the beginning and ending of programs";"D";"In memory systems, boundary registers";1
"Repeated execution of program segments";"Depicting flow of data in a system";"A sequence of instructions which, when followed properly, solves a problem";"the language which communicates with the computer using only the binary digits 1 and 0.";"D";"Which of the following is true for machine language.";1
"Word processing";"Spreadsheet";"UNIX";"Desktop publishing";"C";"Which of the following is not applications software?";1
"a part of data to be displayed";"entire data to be displayed";"full data display on full area of screen";"no data to be displayed";"A";"Scissoring enables";1
"cannot be made to execute in any area of storage other than the one designated for it at the time of its coding or translation.";"consists of a program and relevant information for its relocation.";"can itself performs the relocation of its address-sensitive portions.";"all of the above";"B";"A relocate program form is one which";1
"word processing";"virtual memory";"compiling";"multitasking";"D";"If you want to execute more than one program at a time, the systems software you are using must be capable of:";1
"Assembly and output";"Code generation";"Storage assignment";"Syntax analysis";"A";"In analyzing the compilation of PL/I program, the description resolving symbolic address (labels) and generating machine language"" is associated with""""""";1
"allows interactive tasks quicker access to the processor";"is quite complex to implement";"gives each task the same chance at the processor";"allows processor-bound tasks more time in the processor";"C";"Round-robin scheduling";1
"Operating system";"Systems program";"Object program";"Source program";"B";"What is the name of the system which deals with the running of the actual computer and not with the programming problems?";1
"8";"1";"16";"0";"B";"What is the initial value of the semaphore to allow only one of the many processes to enter their critical section?";1
"a program or source library";"storing program data";"storing backup information";"storing ISAM files";"A";"A partitioned data set is most used for";1
"FORMAT command";"DIR command";"VER command";"DISK command";"C";"If you do not know which version of MS-DOS you are working with, which command will you use after having booted your operating system?";1
"hold and wait";"deadlock avoidance";"race around condition";"buffer overflow";"A";"Four necessary conditions for deadlock to exist are: mutual exclusion, no-preemption, circular wait and";1
"A data file";"A directory";"Used for address translation";"All of the above";"C";"Page-map table is";1
".OBJ and .COM or .EXE, respectively";".COM and .OBJ, respectively";".EXE and .OBJ, respectively";".DAS and .EXE, respectively";"A";"In MS-DOS, relocatable object files and load modules have extensions";1
"block";"dispatch";"wake up";"timer run out";"A";"The state transition initiated by the user process itself in an operating system is";1
"Debugger";"Editor";"Spooler";"All of the above";"C";"Which of the following program is not a utility?";1
"to provide complete file naming freedom to the users and to permit controlled sharing of files";"to provide for long and short term storage of files with appropriate economic tradeoffs.";"to provide security against loss of information due to system failure";"all of the above";"D";"The function(s) of file system is (are):";1
"swapping a process to the disk";"assigning ready process to the CPU";"suspending some of the processes when the CPU load is high";"bring processes from the disk to the main memory";"B";"The main function of the dispatcher (the portion of the process scheduler) is";1
"Syntax errors";"Semantic errors";"Logical errors";"Internal errors";"A";"The errors that can be pointed out by the compiler are";1
"Compile and Go"" loader""";"Boot loader";"Bootstrap loader";"Relating loader";"C";"When a computer is first turned on or restarted, a special type of absolute loader is executed, called a";1
